Ticker,Open,High,Low,Close,Volume,Date
INFY,0.794921,0.798828,0.793457,0.793457,204800,02-01-1996
INFY,0.798828,0.798828,0.798828,0.798828,102400,03-01-1996
INFY,0.791015,0.794921,0.791015,0.793554,307200,04-01-1996
INFY,0.784179,0.784179,0.784179,0.784179,51200,05-01-1996
INFY,0.784179,0.791015,0.785156,0.789062,358400,08-01-1996
INFY,0.789062,0.78125,0.771484,0.780273,870400,09-01-1996
INFY,0.780273,0.77539,0.771484,0.773437,358400,10-01-1996
INFY,0.779296,0.791015,0.773437,0.791015,819200,11-01-1996
INFY,0.787109,0.787109,0.78125,0.786621,358400,12-01-1996
INFY,0.776367,0.785156,0.776367,0.777832,307200,15-01-1996
INFY,0.777832,0.78125,0.71289,0.78125,358400,16-01-1996
INFY,0.78125,0.783203,0.771484,0.773828,768000,17-01-1996
INFY,0.773828,0.776367,0.769531,0.776367,204800,18-01-1996
INFY,0.771484,0.771484,0.768066,0.768554,512000,19-01-1996
INFY,0.771484,0.776367,0.771484,0.776367,204800,22-01-1996
INFY,0.767578,0.78125,0.767578,0.773925,665600,23-01-1996
INFY,0.773925,0.770507,0.752929,0.770507,409600,24-01-1996
INFY,0.770996,0.770996,0.767578,0.767578,102400,25-01-1996
INFY,0.767578,0.767578,0.767578,0.767578,0,26-01-1996
INFY,0.765625,0.765625,0.763183,0.763183,102400,29-01-1996
INFY,0.763183,0.77539,0.771484,0.77246,1433600,30-01-1996
INFY,0.77246,0.78125,0.767578,0.78125,460800,31-01-1996
INFY,0.78125,0.810546,0.78125,0.810546,819200,01-02-1996
INFY,0.810546,0.839843,0.810546,0.839746,2355200,02-02-1996
INFY,0.839746,0.841796,0.82041,0.839843,819200,05-02-1996
INFY,0.839843,0.883789,0.839843,0.859375,1382400,06-02-1996
INFY,0.859375,0.84375,0.833984,0.836523,972800,07-02-1996
INFY,0.849609,0.888671,0.849609,0.888671,768000,08-02-1996
INFY,0.888671,0.927734,0.830078,0.922558,1382400,09-02-1996
INFY,0.922558,0.935546,0.908203,0.912109,819200,12-02-1996
INFY,0.9375,0.957031,0.9375,0.957031,2048000,13-02-1996
INFY,0.957031,1.000976,0.951171,0.993164,972800,14-02-1996
INFY,0.993164,1.005859,0.957031,1.002539,2201600,15-02-1996
INFY,1.002539,1.015625,0.965332,1.005371,2764800,16-02-1996
INFY,1.005371,0.986328,0.982421,0.98457,1024000,19-02-1996
INFY,0.98457,0.981445,0.96875,0.968945,614400,20-02-1996
INFY,0.968945,0.968945,0.968945,0.968945,0,21-02-1996
INFY,0.968945,0.972656,0.96123,0.961425,307200,22-02-1996
INFY,0.961425,0.970703,0.960937,0.970703,153600,23-02-1996
INFY,0.970703,0.976562,0.966308,0.976562,204800,26-02-1996
INFY,0.976562,0.952148,0.927734,0.927734,153600,27-02-1996
INFY,0.927734,0.929687,0.929687,0.929687,51200,28-02-1996
INFY,0.929687,0.917968,0.914062,0.916015,460800,29-02-1996
INFY,0.916015,0.927734,0.898437,0.922851,512000,01-03-1996
INFY,0.927734,0.9375,0.927734,0.9375,153600,04-03-1996
INFY,0.9375,0.9375,0.9375,0.9375,0,05-03-1996
INFY,0.952929,0.952929,0.911132,0.911132,204800,06-03-1996
INFY,0.911132,0.9375,0.917871,0.9375,307200,07-03-1996
INFY,0.9375,0.945214,0.929687,0.945214,256000,08-03-1996
INFY,0.945214,0.9375,0.931738,0.935546,153600,11-03-1996
INFY,0.935546,0.9375,0.917968,0.9375,409600,12-03-1996
INFY,0.9375,0.928125,0.915039,0.915039,870400,13-03-1996
INFY,0.915039,0.9375,0.937011,0.9375,307200,14-03-1996
INFY,0.9375,0.933691,0.933593,0.933593,153600,15-03-1996
INFY,0.933593,0.9375,0.933593,0.93496,1228800,18-03-1996
INFY,0.93496,0.9375,0.927734,0.9375,256000,19-03-1996
INFY,0.9375,0.9375,0.9375,0.9375,0,20-03-1996
INFY,0.9375,0.944726,0.93457,0.93457,256000,21-03-1996
INFY,0.93457,0.951171,0.941503,0.946679,768000,22-03-1996
INFY,0.946679,0.937304,0.920898,0.935546,409600,25-03-1996
INFY,0.935546,0.933593,0.923046,0.923046,204800,26-03-1996
INFY,0.923046,0.9375,0.929687,0.929687,716800,27-03-1996
INFY,0.929687,0.949316,0.947265,0.949316,307200,28-03-1996
INFY,0.949316,0.984277,0.957031,0.982324,716800,29-03-1996
INFY,0.982324,0.982324,0.982324,0.982324,0,01-04-1996
INFY,0.982324,0.986328,0.974609,0.986328,614400,02-04-1996
INFY,0.986328,0.990234,0.978515,0.978515,512000,03-04-1996
INFY,0.978515,0.976562,0.976562,0.976562,51200,04-04-1996
INFY,0.976562,0.976562,0.976562,0.976562,0,05-04-1996
INFY,0.976562,0.982226,0.976562,0.982226,256000,08-04-1996
INFY,0.982226,1.035156,0.988281,1.032226,2099200,09-04-1996
INFY,1.032226,1.136718,1.084082,1.088867,4505600,10-04-1996
INFY,1.088867,1.085937,1.064453,1.076171,1536000,11-04-1996
INFY,1.076171,1.09375,1.07041,1.092578,1587200,12-04-1996
INFY,1.092578,1.171875,1.09375,1.160156,3174400,15-04-1996
INFY,1.160156,1.220703,1.152343,1.20664,2918400,16-04-1996
INFY,1.20664,1.279296,1.210937,1.26582,4249600,17-04-1996
INFY,1.26582,1.318164,1.231445,1.251757,3532800,18-04-1996
INFY,1.251757,1.271484,1.235351,1.242187,1587200,19-04-1996
INFY,1.242187,1.240234,1.210937,1.21289,1689600,22-04-1996
INFY,1.21289,1.220703,1.201171,1.217968,3276800,23-04-1996
INFY,1.217968,1.269531,1.232421,1.242285,1280000,24-04-1996
INFY,1.242285,1.256835,1.240332,1.240429,1484800,25-04-1996
INFY,1.240429,1.257812,1.223242,1.237402,1382400,26-04-1996
INFY,1.237402,1.234375,1.224414,1.228515,460800,29-04-1996
INFY,1.228515,1.239746,1.223632,1.231445,1075200,30-04-1996
INFY,1.231445,1.236328,1.228515,1.231445,358400,01-05-1996
INFY,1.231445,1.289062,1.238281,1.253906,1280000,02-05-1996
INFY,1.253906,1.265625,1.240234,1.254394,1638400,03-05-1996
INFY,1.254394,1.267089,1.245117,1.2625,2150400,06-05-1996
INFY,1.2625,1.269531,1.250488,1.269531,1536000,07-05-1996
INFY,1.269531,1.296875,1.259765,1.286523,1638400,08-05-1996
INFY,1.286523,1.375976,1.263769,1.320996,4864000,09-05-1996
INFY,1.320996,1.354492,1.279296,1.343261,3328000,10-05-1996
INFY,1.343261,1.36455,1.330273,1.34248,1587200,13-05-1996
INFY,1.34248,1.34746,1.316406,1.335839,1536000,14-05-1996
INFY,1.335839,1.345117,1.304687,1.318164,1894400,15-05-1996
INFY,1.318164,1.353515,1.330078,1.33164,972800,16-05-1996
INFY,1.33164,1.348437,1.294921,1.31123,1177600,17-05-1996
INFY,1.31123,1.308593,1.291992,1.293261,870400,20-05-1996
INFY,1.293261,1.3125,1.286132,1.301269,2355200,21-05-1996
INFY,1.301269,1.308593,1.297851,1.297851,1024000,22-05-1996
INFY,1.297851,1.293457,1.280371,1.288769,460800,23-05-1996
INFY,1.288769,1.292968,1.271484,1.291015,819200,24-05-1996
INFY,1.291015,1.279296,1.266113,1.266113,614400,27-05-1996
INFY,1.266113,1.279296,1.25,1.277343,921600,28-05-1996
INFY,1.277343,1.294433,1.281738,1.294433,512000,29-05-1996
INFY,1.294433,1.279296,1.260253,1.269921,563200,30-05-1996
INFY,1.269921,1.269531,1.261718,1.263671,409600,31-05-1996
INFY,1.263671,1.302734,1.286132,1.30166,819200,03-06-1996
INFY,1.30166,1.30996,1.298828,1.30996,460800,04-06-1996
INFY,1.311523,1.316406,1.304687,1.305664,460800,05-06-1996
INFY,1.318359,1.332031,1.318359,1.332031,512000,06-06-1996
